Green, [23616, 22816, 21968, 21952, 22128, 23072, 21488, 20896, 22624, 23168, 21392, 22240, 21408, 21984, 22560, 20800, 30864, 49920, 57520, 44832, 42096, 38704, 37536, 29952, 33456, 29616, 31104, 29568, 36000, 33584, 21488, 22016, 22544, 22800, 21952, 22320, 21872, 21456, 22112, 22096, 22352, 23296, 21552]
Green, [21840, 22208, 22352, 22224, 22448, 22832, 21440, 23024, 21456, 22768, 22624, 22128, 23152, 23120, 27008, 42992, 43120, 41856, 32800, 41376, 37440, 37632, 30752, 32032, 28720, 31072, 25952, 27808, 24848, 22288, 21920, 22528, 22256, 21552, 22224, 22208, 23344, 22528, 21248, 21792, 22048, 23376, 22912]
Green, [21760, 23072, 22608, 21840, 21792, 22816, 22352, 21744, 21952, 21600, 22992, 21520, 22384, 22928, 22448, 44416, 47104, 39696, 37824, 38192, 37888, 38080, 32992, 30800, 29120, 29376, 29680, 27936, 30816, 21808, 21888, 23216, 21216, 23744, 22160, 23216, 21520, 22688, 21296, 22528, 21600, 22016, 21328]
Green, [23344, 22656, 21216, 23040, 21824, 21856, 22800, 22032, 22512, 22176, 21328, 22880, 21120, 22080, 22928, 21760, 23024, 29392, 43856, 38992, 36656, 40032, 37600, 38000, 33792, 31600, 32464, 30496, 27600, 29120, 27936, 22752, 21744, 23216, 21328, 22528, 23120, 21856, 22528, 22432, 22032, 22656, 21248]
Green, [21520, 22864, 22576, 21584, 22528, 22192, 23728, 21680, 22864, 22160, 22288, 23440, 21344, 22272, 23152, 21792, 24512, 42944, 44224, 40704, 42192, 41376, 40928, 36416, 33248, 30288, 31712, 31200, 27296, 28384, 26624, 22080, 23072, 21776, 21824, 23472, 22144, 22336, 22144, 21232, 24592, 22416, 22112]
Green, [23696, 22432, 21456, 23088, 23664, 22384, 21856, 22736, 21872, 23072, 21568, 23184, 23088, 22688, 27120, 41216, 48976, 42720, 38624, 40128, 39040, 36640, 30608, 32496, 28384, 30800, 28608, 28256, 24608, 21536, 21776, 22240, 22608, 21888, 22848, 21504, 23296, 21696, 23312, 23056, 21280, 22736, 20096]
Green, [21952, 23840, 23152, 22784, 23040, 22384, 22432, 22592, 23088, 22400, 21728, 22672, 22672, 21520, 22224, 25840, 38368, 46720, 45088, 39632, 40048, 39776, 37664, 33504, 30800, 29344, 31280, 27360, 29664, 30720, 22896, 22464, 21936, 23488, 22560, 22192, 21888, 22736, 21968, 22608, 22384, 22656, 21856]
Green, [22720, 23168, 21984, 23104, 22528, 21728, 22704, 21744, 23040, 21840, 22384, 23552, 21328, 22160, 23056, 26848, 41648, 42384, 44240, 41040, 40960, 35696, 36128, 36464, 31120, 30192, 29248, 25472, 31440, 29680, 23904, 21936, 23408, 23056, 22224, 22464, 21152, 22928, 21552, 21776, 22672, 22960, 21696]
Green, [22240, 22960, 22192, 22032, 22256, 22912, 21488, 22880, 22624, 21168, 21584, 21520, 21504, 22480, 21840, 22832, 22736, 21232, 22192, 22672, 20816, 30352, 44880, 46192, 49616, 46336, 40112, 40000, 33680, 36112, 32992, 31504, 33632, 28720, 29952, 24416, 20736, 22448, 22528, 22832, 22064, 22320, 22800]
Green, [22000, 22592, 22640, 22640, 22400, 22944, 21728, 22688, 21696, 21952, 22352, 22816, 22384, 21856, 24880, 24688, 25280, 25760, 42272, 42304, 44464, 50784, 50752, 50960, 44176, 38624, 37264, 34800, 31568, 34848, 28544, 30064, 23392, 22640, 22144, 22624, 21600, 22736, 21904, 23024, 23072, 21568, 23120]
Green, [23136, 21536, 23072, 22016, 22128, 22416, 21296, 23424, 22000, 22080, 22096, 22272, 21248, 22304, 21856, 22368, 22032, 21568, 21952, 23216, 31056, 42784, 45696, 37200, 39776, 41280, 40304, 32064, 35504, 31872, 35088, 29792, 30000, 32096, 28608, 23472, 21984, 21616, 21872, 21856, 23008, 21424, 22096]
Green, [22864, 22832, 21920, 21776, 22736, 21568, 21616, 22320, 22384, 21824, 21952, 21440, 23680, 21968, 22384, 22208, 21680, 24464, 41216, 49376, 39440, 43280, 40368, 40688, 37120, 33696, 34032, 32896, 30736, 30896, 28288, 21968, 21376, 23024, 22176, 23136, 22848, 21472, 22880, 20992, 22688, 23104, 21024]
Green, [23728, 20992, 22336, 22560, 21552, 21904, 22960, 21840, 22592, 21824, 22304, 23552, 22192, 22432, 22240, 22624, 22816, 23232, 25360, 39968, 40592, 42992, 40240, 41456, 40928, 40688, 37136, 32928, 34624, 30832, 33600, 38272, 26192, 21760, 21280, 21904, 21680, 21952, 22752, 21280, 22544, 23584, 21984]
Green, [22512, 21584, 22304, 22560, 21648, 22960, 21856, 22416, 22272, 21776, 21280, 22560, 22224, 21744, 23072, 21792, 23344, 24416, 26656, 22800, 21856, 32304, 42368, 38880, 43696, 43712, 42336, 40464, 38512, 35456, 37360, 31152, 33312, 38192, 31408, 21616, 21584, 21648, 22400, 22224, 22016, 22288, 22176]
Green, [22432, 22992, 21776, 22608, 22336, 21760, 22320, 21536, 22016, 22016, 21200, 22144, 21984, 22976, 22608, 22496, 22464, 22800, 25424, 29600, 43120, 48800, 40880, 41600, 41728, 41216, 35536, 34736, 35488, 31648, 35488, 37488, 30160, 21008, 21824, 23744, 21232, 22240, 23072, 21888, 22064, 21712, 21712]
Green, [21856, 21696, 23360, 21856, 22352, 22544, 21568, 22720, 22752, 21664, 23344, 21200, 22704, 22240, 21280, 21936, 22400, 21504, 22672, 22832, 32736, 40544, 42112, 47488, 42672, 40880, 42576, 39488, 37232, 35952, 35696, 32224, 35616, 36288, 29120, 20544, 22672, 21632, 21696, 21184, 22688, 21568, 22656]
Green, [22432, 22272, 22448, 22976, 22160, 22256, 21872, 21920, 23472, 21392, 22096, 22128, 21392, 22448, 21376, 21344, 23792, 25392, 42352, 43856, 46464, 45296, 40352, 42848, 39696, 36816, 34496, 38176, 37200, 35824, 36768, 30544, 23024, 21328, 22000, 22752, 22704, 22976, 20992, 22688, 21856, 21648, 22080]
Green, [23344, 21840, 22448, 23200, 22432, 22704, 21472, 23040, 21664, 21616, 22384, 21968, 21856, 22448, 22048, 22512, 22768, 22256, 22288, 24208, 27424, 43472, 41200, 52752, 38400, 43424, 40080, 41280, 39632, 36064, 36032, 34288, 36736, 38960, 25216, 22400, 21472, 21440, 21392, 22784, 21920, 22080, 21744]
Green, [23504, 22000, 21776, 22208, 22720, 22192, 21712, 21632, 23360, 22384, 22160, 23152, 21728, 22256, 21232, 21392, 22592, 21440, 23584, 27744, 38464, 42160, 40112, 45456, 45616, 42624, 38976, 38960, 39136, 32512, 35184, 31616, 34928, 35744, 26112, 22544, 20752, 22096, 22624, 21296, 23360, 22288, 22112]
